ticker,cap_tier,feature,state,mu,sigma,occupancy_pct,sort_by
PG,large,daily return,0,0.0006239332223034755,0.007889515838141799,94.41846873173583,sigma
PG,large,daily return,1,-0.0011983114866173583,0.02574240627721507,5.581531268264173,sigma
PG,large,rolling volatility,0,0.008409313233376509,0.0029903528203266984,90.99941554646406,sigma
PG,large,rolling volatility,1,0.019533783424311862,0.011687389455444178,9.000584453535945,sigma
PG,large,absolute return,0,0.005608353880406349,0.004584872156119927,92.4021040327294,sigma
PG,large,absolute return,1,0.020783311672219838,0.015348608520326356,7.597895967270602,sigma
PG,large,20-day return,0,-0.025577108732209104,0.028718799547313784,47.48684979544126,mean
PG,large,20-day return,1,0.038817547042960865,0.028368297746058677,52.513150204558734,mean
PG,large,60-day return,0,-0.02836245913278668,0.043017465311180815,51.16890707188778,mean
PG,large,60-day return,1,0.07976179867174077,0.04186185589905065,48.83109292811221,mean
PG,large,100-day return,0,-0.02831874135505135,0.05463839111252909,47.106954997077736,mean
PG,large,100-day return,1,0.10320109506297133,0.05639344640016029,52.893045002922264,mean
CVX,large,daily return,0,0.0006051886235108804,0.011632467945259005,85.00876680303917,sigma
CVX,large,daily return,1,0.00010810369821117172,0.03356788873713361,14.99123319696084,sigma
CVX,large,rolling volatility,0,0.011034992137124618,0.0037077015337662507,76.0666277030976,sigma
CVX,large,rolling volatility,1,0.024752098947860405,0.013489620076906246,23.933372296902398,sigma
CVX,large,absolute return,0,0.00779662113541907,0.006074031676424358,86.64523670368206,sigma
CVX,large,absolute return,1,0.027938013750086556,0.021547954016009403,13.354763296317943,sigma
CVX,large,20-day return,0,-0.0015070871197450284,0.1219819854684534,26.91408533021625,mean
CVX,large,20-day return,1,0.014273387039808186,0.03576063478755055,73.08591466978375,mean
CVX,large,60-day return,0,-0.04296428046836805,0.07198831620257055,61.04617182933957,mean
CVX,large,60-day return,1,0.13711284210631014,0.07942132574339933,38.95382817066043,mean
CVX,large,100-day return,0,-0.02193031998366772,0.04747385721188832,50.0,mean
CVX,large,100-day return,1,0.11664461619376537,0.17464245190537825,50.0,mean
HD,large,daily return,0,0.0011997136418910798,0.01033017977438516,86.38223261250731,sigma
HD,large,daily return,1,-0.0006943478868843147,0.02835041448208216,13.617767387492693,sigma
HD,large,rolling volatility,0,0.010457569581894345,0.0035211380943449486,79.39801285797779,sigma
HD,large,rolling volatility,1,0.02123238345730313,0.010784945311418541,20.60198714202221,sigma
HD,large,absolute return,0,0.006756143668784164,0.005307182087457538,85.76855639976621,sigma
HD,large,absolute return,1,0.02306921521418229,0.016644138685460542,14.231443600233781,sigma
HD,large,20-day return,0,-0.03022842950639178,0.04592466804324267,47.04850964348334,mean
HD,large,20-day return,1,0.06026258827312508,0.03951282407637086,52.951490356516665,mean
HD,large,60-day return,0,-0.04300211667295886,0.06553901554995685,42.13909994155465,mean
HD,large,60-day return,1,0.12034257671069734,0.0643110683282054,57.86090005844535,mean
HD,large,100-day return,0,-0.007588211446591128,0.08060690937630603,52.7177089421391,mean
HD,large,100-day return,1,0.19318364829972548,0.08708122389591832,47.282291057860895,mean
INTC,large,daily return,0,0.000959625538788614,0.012852571523052223,85.24254821741671,sigma
INTC,large,daily return,1,-0.001170040530709464,0.03553501595299384,14.757451782583283,sigma
INTC,large,rolling volatility,0,0.01241110750612887,0.003838345054722088,65.2542372881356,sigma
INTC,large,rolling volatility,1,0.02491368838198046,0.00938301332355956,34.74576271186441,sigma
