ticker,cap_tier,group,step_n_features,feature_combo,state,feature_index,feature_name,mu,sigma,occupancy_pct
XRAY,mid,vol,3,daily return + rolling volatility + absolute return,1,2,absolute return,0.011292347581799325,0.012670478679845408,52.36060670796838
XRAY,mid,bb,1,20-day return,0,0,20-day return,-0.07477827697155195,0.0648189234092842,41.30589070262597
XRAY,mid,bb,1,20-day return,1,0,20-day return,0.056923791586181785,0.056006661290586124,58.69410929737402
XRAY,mid,bb,2,20-day return + 60-day return,0,0,20-day return,-0.03354036458024067,0.09002039234229914,55.003548616039744
XRAY,mid,bb,2,20-day return + 60-day return,0,1,60-day return,-0.12366525768263144,0.09679024743207247,55.003548616039744
XRAY,mid,bb,2,20-day return + 60-day return,1,0,20-day return,0.041092840707246274,0.06693097405857562,44.996451383960256
XRAY,mid,bb,2,20-day return + 60-day return,1,1,60-day return,0.1429129700833936,0.09270213919796755,44.996451383960256
XRAY,mid,bb,3,20-day return + 60-day return + 100-day return,0,0,20-day return,-0.031157487983864373,0.09901319609704477,47.40951029098652
XRAY,mid,bb,3,20-day return + 60-day return + 100-day return,0,1,60-day return,-0.11650531019075905,0.1285839290070909,47.40951029098652
XRAY,mid,bb,3,20-day return + 60-day return + 100-day return,0,2,100-day return,-0.20321966526611238,0.07909227514391393,47.40951029098652
XRAY,mid,bb,3,20-day return + 60-day return + 100-day return,1,0,20-day return,0.028245903477565535,0.06637490601496165,52.59048970901349
XRAY,mid,bb,3,20-day return + 60-day return + 100-day return,1,1,60-day return,0.09825221545417848,0.11746394693349432,52.59048970901349
XRAY,mid,bb,3,20-day return + 60-day return + 100-day return,1,2,100-day return,0.17288348107813228,0.14750539080580904,52.59048970901349
EQT,mid,vol,1,daily return,0,0,daily return,0.0003373941247261541,0.040706178144325075,33.433027130954926
EQT,mid,vol,1,daily return,1,0,daily return,0.0007285453566131512,0.016437401043250265,66.56697286904507
EQT,mid,vol,2,daily return + rolling volatility,0,0,daily return,0.0003798898585965728,0.016991092715658872,64.34522537919248
EQT,mid,vol,2,daily return + rolling volatility,0,1,rolling volatility,0.01589359492540428,0.004582952141361104,64.34522537919248
EQT,mid,vol,2,daily return + rolling volatility,1,0,daily return,0.000970867003118877,0.039377824916101783,35.65477462080752
EQT,mid,vol,2,daily return + rolling volatility,1,1,rolling volatility,0.0358300247970726,0.014002927610381022,35.65477462080752
EQT,mid,vol,3,daily return + rolling volatility + absolute return,0,0,daily return,-0.018388136133287443,0.018800346098307035,49.00662251655629
EQT,mid,vol,3,daily return + rolling volatility + absolute return,0,1,rolling volatility,0.023103238923751674,0.012660392357117257,49.00662251655629
EQT,mid,vol,3,daily return + rolling volatility + absolute return,0,2,absolute return,0.018426015265024687,0.01876322267963361,49.00662251655629
EQT,mid,vol,3,daily return + rolling volatility + absolute return,1,0,daily return,0.018740668339908062,0.02117502886441467,50.993377483443716
EQT,mid,vol,3,daily return + rolling volatility + absolute return,1,1,rolling volatility,0.02314408162085084,0.013847293914790695,50.993377483443716
EQT,mid,vol,3,daily return + rolling volatility + absolute return,1,2,absolute return,0.01875175624705071,0.021165210485285073,50.993377483443716
EQT,mid,bb,1,20-day return,0,0,20-day return,-0.012878351999667496,0.07988452392695701,72.03690560681333
EQT,mid,bb,1,20-day return,1,0,20-day return,0.0978847174084715,0.2904819676237921,27.963094393186655
EQT,mid,bb,2,20-day return + 60-day return,0,0,20-day return,-0.008772844090007025,0.13093912689656576,88.6444286728176
EQT,mid,bb,2,20-day return + 60-day return,0,1,60-day return,-0.018037922064701395,0.18641017011604544,88.6444286728176
EQT,mid,bb,2,20-day return + 60-day return,1,0,20-day return,0.24137739670816022,0.29993367869394927,11.355571327182398
EQT,mid,bb,2,20-day return + 60-day return,1,1,60-day return,0.6953989106671816,0.513890617154044,11.355571327182398
EQT,mid,bb,3,20-day return + 60-day return + 100-day return,0,0,20-day return,-0.016517947194408168,0.11981151434076467,82.39886444286728
EQT,mid,bb,3,20-day return + 60-day return + 100-day return,0,1,60-day return,-0.022764219311654524,0.19185175593757708,82.39886444286728
EQT,mid,bb,3,20-day return + 60-day return + 100-day return,0,2,100-day return,-0.034427149835600634,0.24187323770136562,82.39886444286728
EQT,mid,bb,3,20-day return + 60-day return + 100-day return,1,0,20-day return,0.18607745138042203,0.2789552890300983,17.601135557132718
EQT,mid,bb,3,20-day return + 60-day return + 100-day return,1,1,60-day return,0.45663920313272444,0.5178092242061723,17.601135557132718
EQT,mid,bb,3,20-day return + 60-day return + 100-day return,1,2,100-day return,0.7132902345137803,0.43063390280044495,17.601135557132718
SON,mid,vol,1,daily return,0,0,daily return,-0.00019612439626295514,0.031006562370069247,16.235847041230507
SON,mid,vol,1,daily return,1,0,daily return,0.0005576066059476588,0.010521652071993848,83.76415295876949
SON,mid,vol,2,daily return + rolling volatility,0,0,daily return,0.00021745372131575858,0.027169091487271587,22.046571245460374
SON,mid,vol,2,daily return + rolling volatility,0,1,rolling volatility,0.024560432279873298,0.010432023927489664,22.046571245460374
SON,mid,vol,2,daily return + rolling volatility,1,0,daily return,0.0004778507468431955,0.011463379034521,77.95342875453963
SON,mid,vol,2,daily return + rolling volatility,1,1,rolling volatility,0.010754722251586005,0.003349381954294308,77.95342875453963
SON,mid,vol,3,daily return + rolling volatility + absolute return,0,0,daily return,-0.010916648291348736,0.0123617736647761,47.87438581499679
SON,mid,vol,3,daily return + rolling volatility + absolute return,0,1,rolling volatility,0.013975576268854881,0.008385756640681261,47.87438581499679
SON,mid,vol,3,daily return + rolling volatility + absolute return,0,2,absolute return,0.0109166483360668,0.012361773625285701,47.87438581499679
SON,mid,vol,3,daily return + rolling volatility + absolute return,1,0,daily return,0.010832250301877545,0.011978365482555542,52.1256141850032
SON,mid,vol,3,daily return + rolling volatility + absolute return,1,1,rolling volatility,0.013670630506576827,0.007844250453835327,52.1256141850032
SON,mid,vol,3,daily return + rolling volatility + absolute return,1,2,absolute return,0.010832250301877545,0.011978365482555542,52.1256141850032
SON,mid,bb,1,20-day return,0,0,20-day return,-0.04016152271576726,0.04240036896970519,46.41589779985806
SON,mid,bb,1,20-day return,1,0,20-day return,0.043682712713556913,0.040682375324278056,53.58410220014195
SON,mid,bb,2,20-day return + 60-day return,0,0,20-day return,-0.005258110013408492,0.06941921229936412,57.34563520227112
SON,mid,bb,2,20-day return + 60-day return,0,1,60-day return,-0.039650994825793595,0.0685425384564187,57.34563520227112
