ticker,cap_tier,group,step_n_features,feature_combo,state,feature_index,feature_name,mu,sigma,occupancy_pct
PG,large,vol,3,daily return + rolling volatility + absolute return,0,2,absolute return,0.007928258114008168,0.008903837199906653,46.50715659047212
PG,large,vol,3,daily return + rolling volatility + absolute return,1,0,daily return,0.00750646546140393,0.008652814484298072,53.49284340952788
PG,large,vol,3,daily return + rolling volatility + absolute return,1,1,rolling volatility,0.00977643843799464,0.005638365134435827,53.49284340952788
PG,large,vol,3,daily return + rolling volatility + absolute return,1,2,absolute return,0.007528781321749447,0.008633404544686023,53.49284340952788
PG,large,bb,1,20-day return,0,0,20-day return,-0.02615877306414478,0.03447645816587906,47.977288857345634
PG,large,bb,1,20-day return,1,0,20-day return,0.047803594337144976,0.031736491477222996,52.022711142654366
PG,large,bb,2,20-day return + 60-day return,0,0,20-day return,0.0007966665100631168,0.056304485203414016,44.499645138396026
PG,large,bb,2,20-day return + 60-day return,0,1,60-day return,-0.03038617855654363,0.044262067849809864,44.499645138396026
PG,large,bb,2,20-day return + 60-day return,1,0,20-day return,0.023163921562874067,0.04075196821836489,55.500354861603974
PG,large,bb,2,20-day return + 60-day return,1,1,60-day return,0.09282054476675654,0.0472115607202061,55.500354861603974
PG,large,bb,3,20-day return + 60-day return + 100-day return,0,0,20-day return,-0.002477467786606447,0.060716650964420166,34.84740951029099
PG,large,bb,3,20-day return + 60-day return + 100-day return,0,1,60-day return,-0.020362946274524275,0.06447463860462666,34.84740951029099
PG,large,bb,3,20-day return + 60-day return + 100-day return,0,2,100-day return,-0.0466027712571488,0.05673328707734865,34.84740951029099
PG,large,bb,3,20-day return + 60-day return + 100-day return,1,0,20-day return,0.021757365029089676,0.03974526911019252,65.15259048970901
PG,large,bb,3,20-day return + 60-day return + 100-day return,1,1,60-day return,0.06987591500429888,0.06257080893868668,65.15259048970901
PG,large,bb,3,20-day return + 60-day return + 100-day return,1,2,100-day return,0.12038500495188244,0.06444264108651464,65.15259048970901
CVX,large,vol,1,daily return,0,0,daily return,-0.0007355541781688506,0.03698117478336045,12.839136936552018
CVX,large,vol,1,daily return,1,0,daily return,0.0007580349421030507,0.012414604811033608,87.16086306344798
CVX,large,vol,2,daily return + rolling volatility,0,0,daily return,0.0003342478117195158,0.030415171555929283,23.81969664601581
CVX,large,vol,2,daily return + rolling volatility,0,1,rolling volatility,0.02588379906329365,0.014768662036591648,23.81969664601581
CVX,large,vol,2,daily return + rolling volatility,1,0,daily return,0.0005984357544671469,0.012174743502955833,76.18030335398419
CVX,large,vol,2,daily return + rolling volatility,1,1,rolling volatility,0.011438714051215387,0.0034935196676444376,76.18030335398419
CVX,large,vol,3,daily return + rolling volatility + absolute return,0,0,daily return,-0.012263846039450561,0.01400523931347015,47.16940824610126
CVX,large,vol,3,daily return + rolling volatility + absolute return,0,1,rolling volatility,0.015179048767628779,0.010615339259114932,47.16940824610126
CVX,large,vol,3,daily return + rolling volatility + absolute return,0,2,absolute return,0.012337099845340198,0.013940753756989756,47.16940824610126
CVX,large,vol,3,daily return + rolling volatility + absolute return,1,0,daily return,0.011826768488543925,0.013683389829670843,52.83059175389874
CVX,large,vol,3,daily return + rolling volatility + absolute return,1,1,rolling volatility,0.014708009443336589,0.009437060493729396,52.83059175389874
CVX,large,vol,3,daily return + rolling volatility + absolute return,1,2,absolute return,0.011841624118595555,0.013670535773928212,52.83059175389874
