ticker,cap_tier,feature,state,mu,sigma,occupancy_pct,sort_by
HD,large,60-day return,0,-0.04300214924317104,0.06553900790124566,42.13909994155465,mean
HD,large,60-day return,1,0.12034254404264068,0.06431108428305396,57.86090005844535,mean
HD,large,100-day return,0,-0.007588217976586887,0.0806069087499613,52.7177089421391,mean
HD,large,100-day return,1,0.1931836247708432,0.08708121264157735,47.282291057860895,mean
INTC,large,daily return,0,0.0009596230735239731,0.012852572330656564,85.24254821741671,sigma
INTC,large,daily return,1,-0.0011700330290772896,0.03553502505698532,14.757451782583283,sigma
INTC,large,rolling volatility,0,0.01241111049739154,0.0038383500361406906,65.2542372881356,sigma
INTC,large,rolling volatility,1,0.024913689214447282,0.00938301499855842,34.74576271186441,sigma
INTC,large,absolute return,0,0.008689248905629658,0.006625881934220127,86.06078316773817,sigma
INTC,large,absolute return,1,0.030035757191868313,0.0213257939483338,13.939216832261836,sigma
INTC,large,20-day return,0,-0.05510426827269619,0.052060285281226144,43.27878433664524,mean
INTC,large,20-day return,1,0.06014317178849046,0.05282433382061427,56.72121566335476,mean
INTC,large,60-day return,0,-0.06309342575917483,0.07245904135782676,55.02630040911748,mean
INTC,large,60-day return,1,0.1344567916824848,0.07899876239530483,44.973699590882525,mean
INTC,large,100-day return,0,-0.06656914455231955,0.09646004427788733,56.779661016949156,mean
INTC,large,100-day return,1,0.18155332435470356,0.09584423053914982,43.22033898305085,mean
CSCO,large,daily return,0,0.0009124291114226871,0.010878144352441731,92.66510812390415,sigma
CSCO,large,daily return,1,-0.002737358503154368,0.03847719478319974,7.334891876095851,sigma
CSCO,large,rolling volatility,0,0.010889576205231427,0.0035489232351334347,73.3781414377557,sigma
CSCO,large,rolling volatility,1,0.02404702308325067,0.00888552565994388,26.6218585622443,sigma
CSCO,large,absolute return,0,0.007599121609232259,0.006019627135765846,89.94739918176505,sigma
CSCO,large,absolute return,1,0.02928555766517729,0.02270018343694972,10.05260081823495,sigma
CSCO,large,20-day return,0,-0.05507760308593382,0.04833942612454643,38.720046756282876,mean
CSCO,large,20-day return,1,0.049570487443818735,0.045032122198450264,61.279953243717124,mean
CSCO,large,60-day return,0,-0.05602497789407949,0.06992399043075281,53.38983050847458,mean
CSCO,large,60-day return,1,0.11803170157456677,0.06199791421080646,46.61016949152542,mean
CSCO,large,100-day return,0,-0.07876030994422338,0.08000502251110722,46.08416130917592,mean
CSCO,large,100-day return,1,0.14547994416297053,0.07870076062101876,53.91583869082408,mean
JNJ,large,daily return,0,0.0006438698597697822,0.007954634361229966,95.44126241963764,sigma
JNJ,large,daily return,1,-0.0011941804028381534,0.024671186194195678,4.5587375803623615,sigma
JNJ,large,rolling volatility,0,0.008326473552984083,0.0030239090773481613,92.19754529514903,sigma
JNJ,large,rolling volatility,1,0.020310850008614087,0.011002075225195813,7.802454704850964,sigma
JNJ,large,absolute return,0,0.0053476233453888505,0.004481038663661875,91.14552893045003,sigma
JNJ,large,absolute return,1,0.01901002208982567,0.013815008588347616,8.854471069549971,sigma
JNJ,large,20-day return,0,-0.020587089046296785,0.02982765105566785,53.7989479836353,mean
JNJ,large,20-day return,1,0.042372049257953966,0.029317923674069244,46.2010520163647,mean
JNJ,large,60-day return,0,-0.030365908659223804,0.03799778954286855,47.019286966686145,mean
JNJ,large,60-day return,1,0.07308662661009882,0.03871390013191361,52.980713033313855,mean
JNJ,large,100-day return,0,-0.03126975528035733,0.03812575646525939,41.788427819988314,mean
JNJ,large,100-day return,1,0.09494025095521126,0.05103481220695845,58.211572180011686,mean
VZ,large,daily return,0,0.0004430034606441962,0.008912370095677982,93.27878433664523,sigma
VZ,large,daily return,1,-8.391049159282012e-05,0.023191236118889718,6.721215663354762,sigma
VZ,large,rolling volatility,0,0.009339599060494131,0.0030211816419151707,88.77849210987726,sigma
VZ,large,rolling volatility,1,0.018654416758746427,0.007218983059033456,11.221507890122735,sigma
VZ,large,absolute return,0,0.0059606707892762055,0.004739408120517185,89.0999415546464,sigma
VZ,large,absolute return,1,0.01908523213639026,0.012656315925149292,10.900058445353594,sigma
VZ,large,20-day return,0,-0.02466776445931781,0.030569482032320544,58.211572180011686,mean
VZ,large,20-day return,1,0.05103550919557847,0.03335172880300046,41.788427819988314,mean
VZ,large,60-day return,0,-0.03705322712640244,0.04513327869115267,52.337814143775574,mean
VZ,large,60-day return,1,0.08038851957881915,0.050140722971671665,47.66218585622443,mean
VZ,large,100-day return,0,-0.02763414032226515,0.06144072150999879,62.36119228521333,mean
VZ,large,100-day return,1,0.1246374916586244,0.0613404831882027,37.63880771478668,mean
NEE,large,daily return,0,0.0009082816353183177,0.009546178370127771,88.74926943308007,sigma
NEE,large,daily return,1,-0.0007335644962596254,0.02867659547502497,11.250730566919929,sigma
NEE,large,rolling volatility,0,0.009404000298008112,0.003193566380695408,82.49561659848042,sigma
NEE,large,rolling volatility,1,0.021702591587464584,0.01069530168723815,17.50438340151958,sigma
NEE,large,absolute return,0,0.006599090731937404,0.005209535614635428,88.42781998831093,sigma
NEE,large,absolute return,1,0.023316830346405606,0.017785977501319408,11.57218001168907,sigma
NEE,large,20-day return,0,-0.013844109582357043,0.08239332828208862,31.765049678550554,mean
NEE,large,20-day return,1,0.027041128387230377,0.02557328657633646,68.23495032144945,mean
